yugene_value	probe_id	sample_id	ds_id	chip_type	x_position
0.992149004016	1420330_at	GSM1263334	6498	11	1
0.991057083117	10547664	GSM1190905	6344	31	2
0.988863493634	10547664	GSM854310	6311	31	3
0.987314022826	10547664	GSM854339	6311	31	4
0.986299410061	1420330_at	24hrTDMbeadtreated2	6140	117	5
0.986149980054	A_52_P161488	GSM1159669	6290	131	6
0.985869746894	10547664	GSM1190911	6344	31	7
0.984606244239	10547664	GSM1190908	6344	31	8
0.98419609476	10547664	GSM1190914	6344	31	9
0.982953260499	A_52_P161488	GSM1159666	6290	131	10
0.982127763437	10547664	GSM854307	6311	31	11
0.979232367073	ILMN_1215209	8778571076_G	6125	72	12
0.977917877326	10547664	GSM854313	6311	31	13
0.975717641193	10547664	GSM1340099	6455	31	14
0.972845012977	10547664	GSM605849	6311	31	15
0.97078655784	A_52_P161488	GSM1159663	6290	131	16
0.969348597211	1420331_at	GSM1263335	6498	11	17
0.969280534758	ILMN_1215209	8778571093_B	6125	72	18
0.969156866807	ILMN_2671354	4256265088_C	6185	132	19
0.968280676892	10547664	GSM854277	6311	31	20
0.96423933236	6957083	GSM1181579	6405	74	21
0.962135960131	ILMN_1215209	8778571044_H	6124	72	22
0.96206309873	10547664	GSM1190947	6344	31	23
0.960884991186	10547664	GSM605846	6311	31	24
0.958677678433	ILMN_1216972	8778571044_A	6124	72	25
0.956721623106	ILMN_2671354	4112157060_A	6185	132	26
0.952444453226	ILMN_1216972	8778571076_G	6125	72	27
0.950342943191	ILMN_2671354	SAMPLE_10	6357	132	28
0.94952413209	ILMN_1216972	8709381055_A	6124	72	29
0.948865014092	ILMN_1216972	8778571093_B	6125	72	30
0.948357926483	1420330_at	AS1	6320	11	31
0.948330485441	10547664	GSM1190930	6344	31	32
0.94776487356	1420330_at	2hrTDMbeadtreated2	6140	117	33
0.947717858757	ILMN_1215209	8709381095_B	6124	72	34
0.946166799488	10547664	GSM854304	6311	31	35
0.945005022585	ILMN_1216972	4256265088_C	6185	132	36
0.932317157773	ILMN_1216972	8709381063_B	6124	72	37
0.931500655888	ILMN_1215209	8778571043_G	6124	72	38
0.931043711756	1420330_at	AS4	6320	11	39
